#{"t_start": 1763426090.0316086, "env_id": "None"}
r,l,t
-5.357866,294,343.428037
-5.996229,278,344.031532
-7.015473,344,344.782045
-3.699942,272,345.362278
-7.171924,291,346.068215
-3.728405,182,346.409194
-1.070657,212,347.99822
0.247246,48,348.089125
-1.149716,244,348.549422
0.14648,80,348.712463
-2.395215,244,349.231915
-0.642252,208,349.638732
-2.167158,260,350.307463
-1.75208,200,350.642828
-0.227846,184,351.025561
-5.231901,308,351.648497
-1.506001,172,351.98978
-0.642256,200,352.343577
-1.285856,220,352.811762
-6.592995,300,353.461478
-5.238502,245,353.971995
-0.15711,176,354.339228
-8.133827,372,355.087878
-3.628579,304,355.706808
-2.852819,252,357.055453
-1.271582,208,357.493915
-4.097235,226,357.922616
-0.151471,124,358.185403
-6.586053,298,358.751167
-2.530745,252,359.440441
-2.447597,236,360.15427
-1.202493,160,360.592056
-1.42071,228,361.092844
-2.549571,248,363.826098
-7.789507,376,364.662895
-0.979182,204,365.061558
-2.272439,236,365.640425
-0.542438,160,366.024959
-1.707562,184,366.368743
-0.634675,228,366.841605
-0.280673,164,367.181827
-2.908392,260,367.746351
-0.403873,152,368.116561
-5.11827,270,369.543258
-0.675284,208,369.978818
-4.356226,240,370.56673
-0.761702,156,371.071073
-1.800515,232,371.939686
-5.330676,258,373.076412
-1.169655,200,373.637067
-5.294018,270,374.185547
-0.153237,124,374.512203
-0.534615,160,375.605953
-2.228343,152,375.981089
-6.71157,364,376.822578
-9.624294,319,377.728711
-0.087955,136,377.993252
-0.623093,120,378.276238
-7.346044,281,379.030434
-1.297454,180,379.484137
-1.826713,212,379.966906
0.188483,100,380.200267
-0.763774,160,380.539998
-0.345746,148,381.790642
-6.887555,320,382.741709
-1.328651,200,383.269077
-4.135173,234,383.143764
-2.596008,228,383.6157
-1.301655,212,384.202098
-1.054638,196,384.717613
-0.76053,144,386.193287
-5.03344,340,387.397838
-1.428474,236,389.123686
-0.938902,188,389.594798
-1.361394,236,390.257674
-3.46052,272,390.984356
-2.107186,276,391.787771
-4.323991,268,392.389904
-0.626322,180,392.94266
-3.406223,234,395.747137
